WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (10.037391470999999 53.506646424000003)",Unfall 6937 (2016) Kat:3, Licht: 0,6937,3,6,2,01,15,5,,0,0,1,0,0,0,1
"POINT (10.057799545000000 53.509277326000003)",Unfall 6943 (2016) Kat:3, Licht: 0,6943,3,6,3,02,07,6,,0,0,1,0,0,1,0
"POINT (9.955861281000001 53.570441733000003)",Unfall 6948 (2016) Kat:3, Licht: 0,6948,3,2,5,04,16,3,,0,1,1,0,0,0,0
"POINT (9.898979976000000 53.565163810999998)",Unfall 6962 (2016) Kat:3, Licht: 2,6962,3,2,4,01,20,3,,2,0,1,0,0,0,0
"POINT (9.969981970999999 53.550724350000003)",Unfall 6963 (2016) Kat:3, Licht: 2,6963,3,6,2,03,18,3,,2,0,1,0,0,0,0
"POINT (10.026279875000000 53.554377449000000)",Unfall 6970 (2016) Kat:3, Licht: 1,6970,3,6,2,02,07,2,,1,0,1,0,0,0,0
"POINT (10.038888685000000 53.559239669000000)",Unfall 6981 (2016) Kat:3, Licht: 0,6981,3,2,1,01,10,5,,0,0,1,0,0,0,0
"POINT (10.139040057000001 53.533207877000002)",Unfall 6982 (2016) Kat:3, Licht: 2,6982,3,6,2,03,05,1,,2,0,1,0,0,0,0
"POINT (9.908191611000000 53.620427102999997)",Unfall 7000 (2016) Kat:3, Licht: 2,7000,3,2,4,02,19,5,,2,0,1,0,0,0,1
"POINT (10.045898438000000 53.552500142000000)",Unfall 7016 (2016) Kat:3, Licht: 2,7016,3,2,2,01,19,3,,2,0,1,0,0,0,0
"POINT (10.212182702000000 53.486802279999999)",Unfall 7021 (2016) Kat:3, Licht: 0,7021,3,6,1,02,15,3,,0,0,1,0,0,0,0
"POINT (9.865155151000000 53.471526259000001)",Unfall 7024 (2016) Kat:3, Licht: 0,7024,3,6,2,03,17,5,,0,0,1,0,0,0,0
"POINT (10.031871599000000 53.566375976000003)",Unfall 7039 (2016) Kat:3, Licht: 2,7039,3,3,5,01,20,7,,2,0,1,0,0,0,0
"POINT (9.941121656000000 53.573008821999998)",Unfall 7040 (2016) Kat:3, Licht: 0,7040,3,6,2,03,13,4,,0,0,1,0,1,0,0
"POINT (10.166259405000000 53.514745251000001)",Unfall 7046 (2016) Kat:3, Licht: 1,7046,3,6,2,02,16,5,,1,0,1,0,0,0,0
"POINT (9.948259861000000 53.562397679000000)",Unfall 7056 (2016) Kat:3, Licht: 0,7056,3,6,3,01,09,2,,0,0,1,0,0,1,0
"POINT (10.030681685999999 53.567345580999998)",Unfall 7057 (2016) Kat:2, Licht: 2,7057,2,3,5,03,18,6,,2,1,1,0,0,0,0
"POINT (10.025987895000000 53.551347800000002)",Unfall 7073 (2016) Kat:3, Licht: 0,7073,3,2,4,02,15,1,,0,0,1,0,0,0,0
"POINT (10.085088488000000 53.502580962000003)",Unfall 7083 (2016) Kat:3, Licht: 1,7083,3,6,3,01,17,4,,1,0,1,0,0,0,0
"POINT (10.024688279999999 53.542695154999997)",Unfall 7084 (2016) Kat:3, Licht: 2,7084,3,6,3,03,23,7,,2,0,1,0,0,0,0
"POINT (10.004121425999999 53.615984672000003)",Unfall 7101 (2016) Kat:3, Licht: 0,7101,3,3,5,02,16,4,,0,0,1,0,0,0,0
"POINT (10.014724080000001 53.517312433000001)",Unfall 7108 (2016) Kat:3, Licht: 0,7108,3,6,2,04,07,2,,0,0,1,0,0,0,0
