WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.218424272000000 49.133216388999998)","Unfall 31586 (2016) Kat:3 Licht:0",31586,3,2,5,06,15,7,,0,0,1,0,0
"POINT (9.176062742999999 49.140031618999998)","Unfall 31845 (2016) Kat:3 Licht:0",31845,3,7,2,06,14,1,,0,0,1,0,0
"POINT (9.207504200000001 49.151469650000003)","Unfall 31906 (2016) Kat:3 Licht:0",31906,3,6,2,06,07,2,,0,0,1,0,0
"POINT (9.225355921000000 49.157947878000002)","Unfall 31973 (2016) Kat:3 Licht:0",31973,3,1,8,06,15,5,,0,0,1,0,0
"POINT (9.197870798000000 49.137452195000002)","Unfall 32039 (2016) Kat:3 Licht:2",32039,3,1,9,06,04,7,,2,0,1,0,0
"POINT (9.221179874000001 49.146359107000002)","Unfall 32162 (2016) Kat:2 Licht:2",32162,2,3,5,06,23,1,,2,0,1,0,0
"POINT (9.193162782000000 49.152106445000001)","Unfall 32203 (2016) Kat:3 Licht:0",32203,3,6,4,06,19,5,,0,1,0,0,0
"POINT (9.223497647000000 49.126777892000000)","Unfall 32242 (2016) Kat:3 Licht:0",32242,3,6,2,06,08,6,,0,0,1,0,0
"POINT (9.213995677000000 49.147803609000000)","Unfall 32299 (2016) Kat:2 Licht:0",32299,2,7,6,06,14,3,,0,0,0,1,0
"POINT (9.221716732999999 49.150168964999999)","Unfall 32342 (2016) Kat:3 Licht:0",32342,3,6,2,06,12,4,,0,0,1,0,0
"POINT (9.222325023000000 49.121040886000003)","Unfall 32378 (2016) Kat:3 Licht:0",32378,3,2,9,06,10,2,,0,0,1,0,0
"POINT (9.201598757999999 49.138085201999999)","Unfall 32443 (2016) Kat:3 Licht:0",32443,3,6,1,06,18,1,,0,0,1,0,0
"POINT (9.218606959000001 49.157406670999997)","Unfall 32454 (2016) Kat:3 Licht:0",32454,3,3,5,06,17,4,,0,1,1,0,0
"POINT (9.224192219000001 49.155320801000002)","Unfall 32541 (2016) Kat:3 Licht:2",32541,3,2,4,06,23,4,,2,1,1,0,0
"POINT (9.194369811000000 49.187024289999997)","Unfall 32579 (2016) Kat:2 Licht:0",32579,2,6,2,07,09,6,,0,0,1,0,0
"POINT (9.218131473000000 49.131860848000002)","Unfall 32598 (2016) Kat:3 Licht:0",32598,3,3,5,07,07,7,,0,0,1,0,0
"POINT (9.204449234000000 49.168492622999999)","Unfall 32633 (2016) Kat:3 Licht:0",32633,3,6,2,06,18,5,,0,0,1,0,0
"POINT (9.227771145000000 49.132912707000003)","Unfall 32717 (2016) Kat:3 Licht:0",32717,3,3,5,07,12,6,,0,1,1,0,0
"POINT (9.224580854999999 49.156080848000002)","Unfall 32857 (2016) Kat:3 Licht:0",32857,3,6,2,07,16,5,,0,0,1,0,0
"POINT (9.221611671000000 49.146331277999998)","Unfall 32995 (2016) Kat:3 Licht:0",32995,3,6,2,07,06,6,,0,0,1,0,0
"POINT (9.199531231000000 49.152532424999997)","Unfall 33126 (2016) Kat:3 Licht:0",33126,3,3,5,07,18,6,,0,0,1,0,0
"POINT (9.189472923000000 49.143235660999999)","Unfall 33389 (2016) Kat:2 Licht:0",33389,2,2,4,07,07,4,,0,1,1,0,0
"POINT (9.226758623000000 49.133904731000001)","Unfall 33442 (2016) Kat:2 Licht:0",33442,2,4,6,07,18,5,,0,0,1,1,0
"POINT (9.209000107000000 49.128297637000003)","Unfall 33504 (2016) Kat:3 Licht:0",33504,3,3,5,07,10,7,,0,1,1,0,0
"POINT (9.229615213000001 49.141209873999998)","Unfall 33509 (2016) Kat:3 Licht:2",33509,3,7,0,07,01,1,,2,1,0,0,0
"POINT (9.210140880999999 49.184986885999997)","Unfall 33558 (2016) Kat:3 Licht:0",33558,3,6,2,07,17,1,,0,0,1,0,0
"POINT (9.226380591000000 49.162013592999998)","Unfall 33600 (2016) Kat:2 Licht:0",33600,2,1,8,07,14,7,,0,1,0,0,0
"POINT (9.172783910000000 49.123294278000003)","Unfall 33673 (2016) Kat:3 Licht:0",33673,3,7,0,07,07,2,,0,0,1,0,0
"POINT (9.227926612999999 49.133110555999998)","Unfall 33701 (2016) Kat:3 Licht:0",33701,3,6,2,07,10,3,,0,0,1,0,0
"POINT (9.200020170000000 49.148765757000000)","Unfall 33755 (2016) Kat:2 Licht:0",33755,2,2,4,07,15,2,,0,0,1,0,1
"POINT (9.197806320000000 49.131123121000002)","Unfall 33837 (2016) Kat:3 Licht:0",33837,3,3,5,07,10,2,,0,0,1,0,0
