WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (6.913448023000058 50.952313601000071)",Unfall 98977 (2019) Kat:3, Licht: 2,98977,3,6,6,02,19,6,1,2,1,0,1,0
"POINT (6.843370054000047 50.980763807000073)",Unfall 98979 (2019) Kat:2, Licht: 0,98979,2,2,5,02,09,6,1,0,0,1,0,0
"POINT (7.011565748000066 50.970977090000076)",Unfall 99133 (2019) Kat:2, Licht: 2,99133,2,2,6,02,02,7,1,2,0,1,1,0
"POINT (6.921155030000023 50.947972480000033)",Unfall 99134 (2019) Kat:3, Licht: 0,99134,3,5,1,02,12,7,0,0,1,1,0,0
"POINT (6.941786713000056 50.935981479000077)",Unfall 99138 (2019) Kat:3, Licht: 0,99138,3,6,6,02,12,7,0,0,1,0,1,0
"POINT (7.014403290000075 51.004269135000072)",Unfall 99184 (2019) Kat:3, Licht: 0,99184,3,6,0,02,16,4,0,0,0,1,0,0
"POINT (7.061448512000027 50.950764932000027)",Unfall 99232 (2019) Kat:2, Licht: 2,99232,2,6,2,02,18,7,0,2,0,1,0,0
"POINT (7.049430857000061 50.942842970000072)",Unfall 99254 (2019) Kat:3, Licht: 1,99254,3,3,0,02,06,3,0,1,1,0,0,0
"POINT (6.977763020000054 50.935522744000082)",Unfall 99255 (2019) Kat:2, Licht: 0,99255,2,7,0,02,10,3,0,0,0,1,0,0
"POINT (6.936971140000026 50.997275586000058)",Unfall 99258 (2019) Kat:3, Licht: 0,99258,3,6,2,02,14,3,0,0,0,1,0,0
"POINT (7.002516802000059 50.959828360000074)",Unfall 99307 (2019) Kat:3, Licht: 0,99307,3,6,2,02,14,6,0,0,0,1,0,0
"POINT (7.007680977000064 50.959980725000037)",Unfall 99308 (2019) Kat:3, Licht: 2,99308,3,6,3,02,18,6,0,2,1,0,0,0
"POINT (7.073982363000027 50.960353412000075)",Unfall 99309 (2019) Kat:3, Licht: 0,99309,3,1,8,02,14,6,0,0,0,1,0,0
"POINT (6.847347340000056 50.918337183000062)",Unfall 99310 (2019) Kat:3, Licht: 1,99310,3,6,2,02,17,6,0,1,0,1,0,0
"POINT (6.924197741000057 50.957461003000049)",Unfall 99311 (2019) Kat:2, Licht: 0,99311,2,4,6,02,10,6,0,0,1,0,1,0
"POINT (6.923781550000058 50.946875944000055)",Unfall 99314 (2019) Kat:3, Licht: 0,99314,3,4,6,02,18,6,0,0,1,0,1,0
"POINT (6.887159250000025 50.932220842000049)",Unfall 99315 (2019) Kat:3, Licht: 0,99315,3,6,2,02,15,6,0,0,0,1,0,0
