WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (13.446792253000069 52.516605817000027)",Unfall 114051 (2018) Kat:3, Licht: 0,114051,3,4,6,05,18,5,0,0,1,0,1,0
"POINT (13.432402476000050 52.462178581000046)",Unfall 114052 (2018) Kat:3, Licht: 0,114052,3,6,2,04,06,5,0,0,0,1,0,0
"POINT (13.365011206000077 52.560540589000027)",Unfall 114053 (2018) Kat:3, Licht: 0,114053,3,2,5,12,08,3,1,0,0,1,0,0
"POINT (13.489883500000076 52.469987784000068)",Unfall 114054 (2018) Kat:3, Licht: 0,114054,3,6,3,09,12,7,0,0,0,1,0,0
"POINT (13.405147250000027 52.520076059000075)",Unfall 114055 (2018) Kat:2, Licht: 1,114055,2,1,9,09,04,1,0,1,0,1,0,0
"POINT (13.368027108000035 52.505740145000061)",Unfall 114056 (2018) Kat:3, Licht: 0,114056,3,1,0,07,09,6,0,0,0,0,0,1
"POINT (13.453418963000047 52.518109402000050)",Unfall 114057 (2018) Kat:3, Licht: 0,114057,3,1,9,07,15,7,0,0,1,0,0,0
"POINT (13.411966548000066 52.541040493000082)",Unfall 114058 (2018) Kat:3, Licht: 0,114058,3,6,2,03,08,4,1,0,0,1,0,0
"POINT (13.448599242000057 52.505028273000050)",Unfall 114059 (2018) Kat:3, Licht: 0,114059,3,6,0,05,18,6,0,0,1,0,1,0
"POINT (13.361786460000076 52.413644888000078)",Unfall 114060 (2018) Kat:3, Licht: 0,114060,3,3,5,10,13,5,0,0,1,1,0,0
"POINT (13.453784343000052 52.515764298000079)",Unfall 114061 (2018) Kat:3, Licht: 2,114061,3,2,5,03,20,6,0,2,0,1,0,0
"POINT (13.401209942000037 52.465041918000054)",Unfall 114062 (2018) Kat:2, Licht: 0,114062,2,6,3,11,12,6,1,0,0,1,0,0
"POINT (13.386013134000052 52.443968307000034)",Unfall 114063 (2018) Kat:3, Licht: 0,114063,3,2,5,09,13,2,0,0,0,1,0,1
"POINT (13.152693334000048 52.418850215000077)",Unfall 114064 (2018) Kat:3, Licht: 0,114064,3,6,2,08,18,7,0,0,0,1,0,1
"POINT (13.404716872000051 52.567802203000042)",Unfall 114065 (2018) Kat:3, Licht: 2,114065,3,1,9,06,22,3,0,2,0,1,0,0
"POINT (13.411516693000067 52.518651425000030)",Unfall 114066 (2018) Kat:3, Licht: 0,114066,3,2,6,10,16,3,0,0,0,1,1,0
"POINT (13.454922008000040 52.462400913000067)",Unfall 114067 (2018) Kat:3, Licht: 0,114067,3,6,2,06,13,5,0,0,0,1,0,0
"POINT (13.458953611000027 52.490858262000074)",Unfall 114068 (2018) Kat:3, Licht: 0,114068,3,2,5,08,15,6,0,0,0,1,0,0
"POINT (13.407093084000053 52.461916673000076)",Unfall 114069 (2018) Kat:3, Licht: 0,114069,3,7,0,04,10,7,0,0,0,1,0,0
"POINT (13.487525826000024 52.512489612000081)",Unfall 114070 (2018) Kat:3, Licht: 0,114070,3,6,2,04,19,7,0,0,0,1,0,0
"POINT (13.436309785000049 52.620020780000061)",Unfall 114071 (2018) Kat:3, Licht: 0,114071,3,6,2,06,12,6,0,0,0,1,0,0
"POINT (13.424289824000027 52.539278080000031)",Unfall 114072 (2018) Kat:3, Licht: 2,114072,3,7,5,12,18,6,1,2,1,1,0,0
"POINT (13.422733014000073 52.520234833000075)",Unfall 114073 (2018) Kat:3, Licht: 1,114073,3,3,5,09,17,2,1,1,1,0,0,0
"POINT (13.373464640000066 52.509165616000075)",Unfall 114074 (2018) Kat:3, Licht: 0,114074,3,6,3,09,18,3,0,0,0,1,0,1
"POINT (13.265814963000025 52.508968473000039)",Unfall 114075 (2018) Kat:3, Licht: 0,114075,3,5,1,06,15,3,0,0,1,1,0,0
"POINT (13.280664652000041 52.501753462000067)",Unfall 114076 (2018) Kat:2, Licht: 2,114076,2,7,3,07,23,7,0,2,0,1,0,1
"POINT (13.391990897000028 52.468606447000070)",Unfall 114077 (2018) Kat:3, Licht: 0,114077,3,6,2,05,12,1,0,0,0,1,0,0
"POINT (13.387802842000042 52.493291646000046)",Unfall 114078 (2018) Kat:3, Licht: 0,114078,3,6,6,03,08,6,0,0,1,0,1,0
"POINT (13.448654659000056 52.505118499000048)",Unfall 114079 (2018) Kat:3, Licht: 2,114079,3,7,6,11,19,7,0,2,1,0,1,0
"POINT (13.293519334000052 52.492406413000026)",Unfall 114081 (2018) Kat:3, Licht: 0,114081,3,6,2,10,13,4,0,0,0,1,0,0
"POINT (13.385514418000071 52.470091903000082)",Unfall 114082 (2018) Kat:3, Licht: 0,114082,3,2,6,08,16,2,0,0,0,1,1,0
"POINT (13.281454452000048 52.504537040000059)",Unfall 114083 (2018) Kat:3, Licht: 0,114083,3,6,2,04,17,1,0,0,0,1,0,0
"POINT (13.402930753000021 52.463934911000081)",Unfall 114084 (2018) Kat:3, Licht: 2,114084,3,1,9,04,01,2,1,2,0,1,0,0
"POINT (13.488108638000028 52.512429677000057)",Unfall 114085 (2018) Kat:2, Licht: 0,114085,2,6,2,05,10,2,0,0,0,1,0,0
"POINT (13.391108358000054 52.431939889000034)",Unfall 114086 (2018) Kat:3, Licht: 2,114086,3,2,5,10,21,4,0,2,0,1,0,0
"POINT (13.364725550000060 52.562090192000028)",Unfall 114087 (2018) Kat:3, Licht: 1,114087,3,3,5,03,17,6,0,1,1,1,0,0
"POINT (13.411973653000075 52.541138164000074)",Unfall 114088 (2018) Kat:3, Licht: 2,114088,3,4,6,12,05,1,1,2,1,0,1,0
"POINT (13.365312974000062 52.473037909000027)",Unfall 114089 (2018) Kat:2, Licht: 0,114089,2,1,2,09,18,4,0,0,0,1,0,0
"POINT (13.423086291000061 52.527527415000066)",Unfall 114090 (2018) Kat:3, Licht: 1,114090,3,6,3,08,20,5,1,1,1,1,0,0
"POINT (13.191299869000034 52.514185529000031)",Unfall 114091 (2018) Kat:2, Licht: 0,114091,2,4,6,06,12,5,0,0,0,1,1,0
"POINT (13.368846226000073 52.541193177000082)",Unfall 114092 (2018) Kat:3, Licht: 0,114092,3,7,0,07,16,3,0,0,1,0,0,0
"POINT (13.385714873000040 52.468187814000032)",Unfall 114093 (2018) Kat:3, Licht: 0,114093,3,6,2,03,16,6,0,0,0,1,0,0
"POINT (13.281675193000069 52.521688757000049)",Unfall 114094 (2018) Kat:3, Licht: 2,114094,3,6,2,11,17,7,0,2,0,1,0,0
"POINT (13.413569047000067 52.558608592000041)",Unfall 114095 (2018) Kat:2, Licht: 0,114095,2,2,0,06,16,5,0,0,1,1,0,0
"POINT (13.554297950000034 52.557565292000049)",Unfall 114096 (2018) Kat:2, Licht: 0,114096,2,6,2,05,12,3,0,0,0,1,0,1
"POINT (13.360220753000021 52.571809712000061)",Unfall 114097 (2018) Kat:3, Licht: 2,114097,3,6,2,12,20,1,1,2,0,1,0,0
"POINT (13.313866132000044 52.512158345000046)",Unfall 114098 (2018) Kat:2, Licht: 0,114098,2,6,3,10,14,5,0,0,0,1,0,1
"POINT (13.398221428000056 52.571013008000079)",Unfall 114099 (2018) Kat:2, Licht: 2,114099,2,1,0,03,19,6,0,2,1,0,0,0
"POINT (13.389143894000028 52.497994422000033)",Unfall 114100 (2018) Kat:3, Licht: 0,114100,3,3,5,07,15,2,0,0,0,1,0,0
"POINT (13.300658016000057 52.487439934000065)",Unfall 114101 (2018) Kat:3, Licht: 0,114101,3,6,3,04,10,3,0,0,0,1,0,0
"POINT (13.271081305000052 52.509277454000028)",Unfall 114102 (2018) Kat:3, Licht: 0,114102,3,2,2,07,15,7,0,0,0,1,0,0
"POINT (13.170814669000038 52.420794501000046)",Unfall 114103 (2018) Kat:3, Licht: 0,114103,3,3,3,03,13,4,0,0,0,1,0,0
"POINT (13.466734226000028 52.559306234000076)",Unfall 114104 (2018) Kat:3, Licht: 0,114104,3,1,0,05,17,3,0,0,0,0,0,1
"POINT (13.146628310000040 52.493896378000045)",Unfall 114105 (2018) Kat:3, Licht: 0,114105,3,6,4,10,13,2,0,0,1,0,0,0
"POINT (13.286013124000021 52.510937140000067)",Unfall 114106 (2018) Kat:3, Licht: 0,114106,3,6,2,03,08,5,0,0,0,1,0,0
"POINT (13.461882624000054 52.515074514000048)",Unfall 114107 (2018) Kat:3, Licht: 2,114107,3,6,2,11,17,7,0,2,0,1,0,0
"POINT (13.364403791000029 52.501595195000050)",Unfall 114108 (2018) Kat:3, Licht: 0,114108,3,6,6,09,17,6,0,0,1,0,1,0
"POINT (13.432200142000056 52.535267234000059)",Unfall 114109 (2018) Kat:3, Licht: 0,114109,3,2,2,08,18,4,0,0,1,0,0,1
"POINT (13.359633163000069 52.489579614000036)",Unfall 114110 (2018) Kat:2, Licht: 0,114110,2,6,2,06,14,7,0,0,1,1,0,0
"POINT (13.456165163000037 52.464606335000042)",Unfall 114111 (2018) Kat:3, Licht: 0,114111,3,6,3,06,14,2,0,0,0,1,0,1
"POINT (13.340194059000055 52.513758696000082)",Unfall 114112 (2018) Kat:3, Licht: 0,114112,3,6,2,08,09,3,0,0,0,1,0,1
"POINT (13.476584198000069 52.513450400000067)",Unfall 114113 (2018) Kat:3, Licht: 0,114113,3,6,2,05,11,5,0,0,0,1,0,0
"POINT (13.414106124000057 52.550749103000044)",Unfall 114114 (2018) Kat:3, Licht: 2,114114,3,4,6,04,20,3,0,2,1,0,1,0
"POINT (13.413461501000029 52.549070732000075)",Unfall 114115 (2018) Kat:3, Licht: 0,114115,3,6,3,12,09,6,0,0,1,0,0,0
"POINT (13.448508748000052 52.504880937000053)",Unfall 114116 (2018) Kat:3, Licht: 1,114116,3,4,6,09,18,5,0,1,1,0,1,0
"POINT (13.273204852000049 52.498797624000076)",Unfall 114117 (2018) Kat:2, Licht: 0,114117,2,6,2,09,14,6,0,0,0,1,0,0
"POINT (13.610453995000057 52.504790118000074)",Unfall 114118 (2018) Kat:3, Licht: 0,114118,3,2,0,07,16,5,0,0,1,1,0,0
"POINT (13.453740268000047 52.515938627000082)",Unfall 114119 (2018) Kat:3, Licht: 0,114119,3,2,5,07,09,5,1,0,1,1,0,0
"POINT (13.382562782000036 52.439387406000037)",Unfall 114120 (2018) Kat:3, Licht: 0,114120,3,2,6,05,10,5,0,0,0,1,1,0
