WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (10.874179680999999 48.388061798999999)",Unfall 69553 (2016) Kat:3, Licht: 0,69553,3,2,5,05,17,6,,0,1,1,0,0,0,0
"POINT (10.936395511000001 48.388816937000001)",Unfall 69587 (2016) Kat:3, Licht: 0,69587,3,2,4,05,17,7,,0,0,1,0,0,0,0
"POINT (10.875875412999999 48.346746482000000)",Unfall 69604 (2016) Kat:3, Licht: 0,69604,3,6,2,05,14,6,,0,0,1,0,0,0,0
"POINT (10.903841090000000 48.412615234999997)",Unfall 69642 (2016) Kat:3, Licht: 0,69642,3,3,3,05,17,7,,0,0,1,0,0,0,1
"POINT (10.867428969000001 48.336426760000002)",Unfall 69658 (2016) Kat:3, Licht: 0,69658,3,3,5,05,13,7,,0,0,1,0,0,0,0
"POINT (10.849970063000001 48.379647761000001)",Unfall 69671 (2016) Kat:3, Licht: 0,69671,3,3,5,05,06,6,,0,0,1,0,0,0,0
"POINT (10.930286926000001 48.380721143999999)",Unfall 70058 (2016) Kat:3, Licht: 0,70058,3,6,4,05,17,5,,0,0,1,0,0,0,0
"POINT (10.907635513000001 48.385761363000000)",Unfall 70060 (2016) Kat:3, Licht: 0,70060,3,2,4,05,11,3,,0,0,1,0,0,0,0
"POINT (10.896010907999999 48.337853383999999)",Unfall 70205 (2016) Kat:2, Licht: 0,70205,2,6,2,05,08,4,,0,0,1,0,1,0,0
"POINT (10.907239052000000 48.311453829999998)",Unfall 70233 (2016) Kat:3, Licht: 0,70233,3,6,3,05,18,6,,0,0,1,0,0,0,0
"POINT (10.927807205000001 48.374775913999997)",Unfall 70256 (2016) Kat:3, Licht: 0,70256,3,6,2,05,19,5,,0,0,1,0,0,0,0
"POINT (10.893395373000001 48.382631521000000)",Unfall 70353 (2016) Kat:3, Licht: 0,70353,3,7,6,05,15,7,,0,0,1,1,0,0,0
"POINT (10.931004621000000 48.380969538999999)",Unfall 70512 (2016) Kat:3, Licht: 0,70512,3,6,1,05,12,5,,0,0,1,0,0,1,0
"POINT (10.859713138000000 48.315781418999997)",Unfall 70616 (2016) Kat:3, Licht: 0,70616,3,7,0,05,14,4,,0,0,0,0,1,0,0
"POINT (10.903903215000000 48.337294679999999)",Unfall 70700 (2016) Kat:3, Licht: 0,70700,3,3,5,05,14,3,,0,1,1,0,0,0,0
"POINT (10.918252187000000 48.355491477000001)",Unfall 70726 (2016) Kat:3, Licht: 2,70726,3,1,4,05,01,7,,2,0,1,0,0,0,0
"POINT (10.888510946000000 48.335474818999998)",Unfall 70786 (2016) Kat:3, Licht: 0,70786,3,6,2,05,16,3,,0,0,1,0,0,0,0
"POINT (10.898887339000000 48.337522612999997)",Unfall 70808 (2016) Kat:3, Licht: 0,70808,3,7,5,05,17,3,,0,1,1,0,0,0,0
"POINT (10.915520702000000 48.355937361999999)",Unfall 70822 (2016) Kat:3, Licht: 0,70822,3,2,3,05,14,1,,0,1,1,0,0,0,0
"POINT (10.936949218000001 48.381744754000003)",Unfall 70875 (2016) Kat:3, Licht: 0,70875,3,2,4,05,12,3,,0,0,1,0,0,0,0
"POINT (10.847224047999999 48.382075655000001)",Unfall 70888 (2016) Kat:3, Licht: 0,70888,3,6,3,05,14,2,,0,0,0,0,0,1,1
"POINT (10.881825513000001 48.310224071000000)",Unfall 70985 (2016) Kat:3, Licht: 0,70985,3,2,4,05,16,3,,0,0,1,0,0,0,0
"POINT (10.906949972000000 48.340014824000001)",Unfall 70991 (2016) Kat:3, Licht: 0,70991,3,1,0,05,13,7,,0,0,0,0,1,0,0
"POINT (10.907211057000000 48.337557552000000)",Unfall 71000 (2016) Kat:3, Licht: 0,71000,3,6,3,05,19,1,,0,0,1,0,1,0,0
"POINT (10.880801700999999 48.385668619999997)",Unfall 71050 (2016) Kat:3, Licht: 0,71050,3,7,6,05,14,3,,0,0,1,1,0,0,0
"POINT (10.871762398000000 48.347815224999998)",Unfall 71055 (2016) Kat:3, Licht: 0,71055,3,6,2,05,12,7,,0,0,1,0,0,0,0
"POINT (10.898393105000000 48.379515417000000)",Unfall 71073 (2016) Kat:3, Licht: 0,71073,3,2,3,05,13,3,,0,0,1,0,0,0,0
"POINT (10.887504093000000 48.333618665000003)",Unfall 71087 (2016) Kat:3, Licht: 2,71087,3,1,9,05,20,1,,2,0,1,0,0,0,0
"POINT (10.872938155000000 48.347432875000003)",Unfall 71089 (2016) Kat:3, Licht: 0,71089,3,6,2,05,17,1,,0,0,1,0,0,0,0
"POINT (10.868041869000001 48.340116993000002)",Unfall 71155 (2016) Kat:3, Licht: 0,71155,3,1,0,05,08,1,,0,1,0,0,0,0,0
"POINT (10.920195591000001 48.397023630000000)",Unfall 71217 (2016) Kat:2, Licht: 0,71217,2,2,4,05,17,5,,0,0,1,0,1,0,0
"POINT (10.891861803999999 48.413966715999997)",Unfall 71241 (2016) Kat:3, Licht: 0,71241,3,6,2,05,17,4,,0,0,1,0,0,0,0
"POINT (10.857575084000000 48.352155515000000)",Unfall 71323 (2016) Kat:2, Licht: 0,71323,2,6,2,05,10,5,,0,0,1,0,1,0,0
"POINT (10.924550218000000 48.371916696000000)",Unfall 71369 (2016) Kat:3, Licht: 0,71369,3,1,3,05,12,4,,0,0,1,0,0,1,0
"POINT (10.882363934000001 48.385726190000000)",Unfall 71419 (2016) Kat:3, Licht: 0,71419,3,6,2,05,13,7,,0,0,1,0,1,0,0
"POINT (10.864389259999999 48.349795440999998)",Unfall 71519 (2016) Kat:3, Licht: 0,71519,3,6,2,05,10,5,,0,0,1,0,0,0,0
"POINT (10.949606820000000 48.383835943000001)",Unfall 71536 (2016) Kat:3, Licht: 0,71536,3,2,1,05,19,4,,0,0,1,0,0,0,0
"POINT (10.885063788000000 48.385728550000003)",Unfall 71616 (2016) Kat:3, Licht: 0,71616,3,7,0,05,16,3,,0,1,0,0,0,0,0
"POINT (10.887667683000000 48.324226285000002)",Unfall 71734 (2016) Kat:3, Licht: 0,71734,3,6,2,06,16,4,,0,0,1,0,0,0,0
"POINT (10.918782190000000 48.355404084000000)",Unfall 71942 (2016) Kat:3, Licht: 0,71942,3,6,2,06,18,5,,0,0,1,0,0,0,0
"POINT (10.928270036000001 48.375052062999998)",Unfall 71954 (2016) Kat:3, Licht: 0,71954,3,7,2,06,15,7,,0,0,1,0,0,0,0
"POINT (10.909268632000000 48.318235297000001)",Unfall 72020 (2016) Kat:3, Licht: 0,72020,3,7,0,05,13,2,,0,1,0,0,0,0,0
"POINT (10.893498569000000 48.382603822000000)",Unfall 72126 (2016) Kat:3, Licht: 0,72126,3,2,3,06,05,3,,0,1,1,0,0,0,0
"POINT (10.895881684000001 48.413622687000000)",Unfall 72156 (2016) Kat:2, Licht: 0,72156,2,6,2,06,15,6,,0,0,1,0,0,0,0
"POINT (10.920164262000000 48.413283505000003)",Unfall 72192 (2016) Kat:3, Licht: 0,72192,3,6,2,06,14,3,,0,0,1,0,1,0,0
"POINT (10.923334794000001 48.370832759000002)",Unfall 72278 (2016) Kat:3, Licht: 0,72278,3,3,1,06,10,3,,0,0,1,0,1,0,0
"POINT (10.938370151999999 48.406771681999999)",Unfall 72279 (2016) Kat:3, Licht: 0,72279,3,1,2,06,17,2,,0,0,1,0,0,1,1
"POINT (10.905941928000001 48.343218250000000)",Unfall 72308 (2016) Kat:3, Licht: 0,72308,3,6,2,06,08,2,,0,0,1,0,0,1,0
"POINT (10.904033836000000 48.348803595000000)",Unfall 72373 (2016) Kat:3, Licht: 0,72373,3,6,3,06,07,4,,0,0,1,0,0,0,1
"POINT (10.898676262000000 48.379603948000003)",Unfall 72377 (2016) Kat:3, Licht: 0,72377,3,1,2,06,14,6,,0,0,1,0,0,0,1
"POINT (10.894942803999999 48.309112042000002)",Unfall 72389 (2016) Kat:2, Licht: 0,72389,2,7,5,06,17,4,,0,1,1,0,0,0,0
"POINT (10.904831293999999 48.352765793000003)",Unfall 72537 (2016) Kat:2, Licht: 1,72537,2,1,0,06,19,3,,1,0,0,0,1,0,0
"POINT (10.939240087000000 48.382129052000003)",Unfall 72538 (2016) Kat:3, Licht: 0,72538,3,1,0,06,19,2,,0,0,0,0,1,0,0
"POINT (10.911940123000001 48.376130007999997)",Unfall 72610 (2016) Kat:3, Licht: 0,72610,3,2,3,06,17,6,,0,1,1,0,0,0,0
