WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
POINT (8.677894462999999 50.093215987000001),Unfall 10607 (2016) Kat:3 Licht:2,10607,3,4,6,02,18,3,,2,0,1,1,0
POINT (8.590037790000000 50.132523366000001),Unfall 10637 (2016) Kat:3 Licht:0,10637,3,6,2,02,16,7,,0,0,1,0,0
POINT (8.666317798000000 50.148081609999998),Unfall 10639 (2016) Kat:3 Licht:0,10639,3,2,3,02,15,6,,0,0,1,0,0
POINT (8.536612933000001 50.116684520000000),Unfall 10654 (2016) Kat:3 Licht:2,10654,3,6,2,02,00,5,,2,0,1,0,0
POINT (8.725437573000001 50.116072422000002),Unfall 10666 (2016) Kat:3 Licht:0,10666,3,6,3,02,07,3,,0,0,1,0,0
POINT (8.525342087000000 50.112367251999999),Unfall 10668 (2016) Kat:3 Licht:0,10668,3,6,2,02,07,5,,0,0,1,0,0
POINT (8.560142625999999 50.052141933999998),Unfall 10676 (2016) Kat:2 Licht:0,10676,2,1,9,02,15,3,,0,0,1,0,0
POINT (8.615466879000000 50.075298208000000),Unfall 10685 (2016) Kat:3 Licht:0,10685,3,6,3,02,17,4,,0,0,1,0,0
POINT (8.604153243000001 50.082659198000002),Unfall 10688 (2016) Kat:2 Licht:1,10688,2,7,6,02,17,7,,1,0,1,1,0
POINT (8.731510473000000 50.118938085000003),Unfall 10711 (2016) Kat:3 Licht:0,10711,3,6,3,02,14,5,,0,0,1,0,0
POINT (8.653929374000001 50.060244230000002),Unfall 10726 (2016) Kat:2 Licht:2,10726,2,6,2,02,03,6,,2,0,1,0,0
POINT (8.484251515000000 50.096036443999999),Unfall 10730 (2016) Kat:3 Licht:1,10730,3,1,8,02,18,5,,1,0,1,0,0
POINT (8.649538642000000 50.113439489000001),Unfall 10739 (2016) Kat:3 Licht:2,10739,3,1,0,02,00,2,,2,0,0,0,1
POINT (8.740126634999999 50.095398562000000),Unfall 10745 (2016) Kat:2 Licht:2,10745,2,1,9,02,20,4,,2,0,1,0,0
POINT (8.652973533000001 50.190255465000000),Unfall 10756 (2016) Kat:3 Licht:2,10756,3,3,5,02,21,4,,2,1,0,0,0
POINT (8.602369698000000 50.057546027999997),Unfall 10760 (2016) Kat:3 Licht:2,10760,3,6,2,02,18,6,,2,0,1,0,0
POINT (8.564601632000001 50.053168003000003),Unfall 10767 (2016) Kat:3 Licht:2,10767,3,6,2,02,19,5,,2,0,1,0,0
POINT (8.544134069000000 50.119428143000000),Unfall 10780 (2016) Kat:3 Licht:0,10780,3,6,2,02,17,7,,0,0,1,0,0
POINT (8.741129282999999 50.122747220000001),Unfall 10807 (2016) Kat:3 Licht:2,10807,3,4,6,02,02,3,,2,0,1,1,0
POINT (8.618756113000000 50.100582795999998),Unfall 10817 (2016) Kat:3 Licht:0,10817,3,6,2,02,12,2,,0,0,1,0,0
POINT (8.706731501000000 50.062347480000000),Unfall 10840 (2016) Kat:2 Licht:2,10840,2,6,2,02,18,4,,2,0,1,0,1
POINT (8.684045785000000 50.135747707999997),Unfall 10845 (2016) Kat:3 Licht:0,10845,3,1,0,02,13,7,,0,0,1,0,0
POINT (8.742347390000001 50.149591164000000),Unfall 10849 (2016) Kat:3 Licht:0,10849,3,6,2,02,13,6,,0,0,1,0,0
POINT (8.603242515000000 50.108305868000002),Unfall 10855 (2016) Kat:3 Licht:0,10855,3,6,2,02,09,3,,0,0,1,0,0
POINT (8.509360595000000 50.074919932999997),Unfall 10857 (2016) Kat:2 Licht:2,10857,2,1,9,02,20,2,,2,0,0,0,0
POINT (8.595744472000000 50.100084135000003),Unfall 10862 (2016) Kat:3 Licht:0,10862,3,5,1,02,14,6,,0,0,1,0,0
POINT (8.592462447999999 50.100070737999999),Unfall 10866 (2016) Kat:2 Licht:0,10866,2,4,6,02,10,5,,0,0,1,1,0
POINT (8.718576794000001 50.099879952999999),Unfall 10871 (2016) Kat:3 Licht:0,10871,3,5,1,02,13,6,,0,0,1,0,0
POINT (8.644602663000001 50.102992942000000),Unfall 10872 (2016) Kat:3 Licht:2,10872,3,6,2,02,18,5,,2,1,1,0,0
POINT (8.732410714000000 50.117444982999999),Unfall 10874 (2016) Kat:3 Licht:0,10874,3,6,3,02,08,3,,0,0,1,0,0
POINT (8.614174336000000 50.177336404999998),Unfall 10885 (2016) Kat:2 Licht:2,10885,2,6,2,02,17,5,,2,0,1,0,0
POINT (8.666109766000000 50.147945546000003),Unfall 10888 (2016) Kat:3 Licht:1,10888,3,4,0,02,17,2,,1,0,0,1,0
POINT (8.703962559000001 50.158480973000003),Unfall 10899 (2016) Kat:3 Licht:0,10899,3,1,9,02,13,5,,0,0,1,0,0
POINT (8.609615781000001 50.115486462000000),Unfall 10907 (2016) Kat:3 Licht:2,10907,3,6,2,02,17,3,,2,0,1,0,0
POINT (8.620324442999999 50.052132405000002),Unfall 10914 (2016) Kat:3 Licht:0,10914,3,6,2,02,16,4,,0,0,1,0,0
POINT (8.541051379000001 50.118119669999999),Unfall 10915 (2016) Kat:3 Licht:2,10915,3,6,3,02,17,6,,2,0,1,0,0
POINT (8.540099633000001 50.109290528000002),Unfall 10943 (2016) Kat:3 Licht:0,10943,3,6,2,02,15,3,,0,0,1,0,0
