WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (8.523260516000050 52.096958379000057)","Unfall 30139 (2024) Kat:2, Licht: 2","30139","2","4","6","02","07","4","","2","0","1","1","0"
"POINT (8.548506128000042 52.023586130000069)","Unfall 30283 (2024) Kat:3, Licht: 0","30283","3","6","2","03","10","6","","0","0","1","0","0"
"POINT (8.543781152000065 52.079735758000027)","Unfall 30316 (2024) Kat:2, Licht: 0","30316","2","3","5","02","10","4","","0","1","1","0","0"
"POINT (8.484439810000026 51.979690451000067)","Unfall 30417 (2024) Kat:2, Licht: 0","30417","2","2","5","03","11","5","","0","0","1","0","1"
"POINT (8.524338051000029 52.017165700000078)","Unfall 30418 (2024) Kat:3, Licht: 2","30418","3","6","2","03","21","5","","2","0","1","0","0"
"POINT (8.499817565000058 51.982138114000065)","Unfall 30528 (2024) Kat:2, Licht: 0","30528","2","1","9","03","14","4","","0","0","1","0","0"
"POINT (8.634814705000053 52.046908842000050)","Unfall 30529 (2024) Kat:3, Licht: 2","30529","3","7","0","03","19","4","","2","1","0","0","0"
"POINT (8.572481801000038 52.001231845000063)","Unfall 30732 (2024) Kat:2, Licht: 0","30732","2","7","0","03","14","2","","0","0","1","0","0"
"POINT (8.489878132000058 51.980068672000073)","Unfall 30795 (2024) Kat:3, Licht: 0","30795","3","2","5","03","14","1","","0","0","1","0","0"
"POINT (8.572306018000063 52.034638513000061)","Unfall 30854 (2024) Kat:2, Licht: 0","30854","2","3","5","03","15","7","","0","0","1","0","0"
"POINT (8.528771419000066 52.029883157000029)","Unfall 30855 (2024) Kat:3, Licht: 2","30855","3","4","6","03","23","7","","2","0","1","1","0"
"POINT (8.595096792000049 51.995852967000076)","Unfall 31071 (2024) Kat:3, Licht: 0","31071","3","3","0","03","08","5","","0","1","1","0","0"
"POINT (8.543165702000067 52.033408972000075)","Unfall 31183 (2024) Kat:3, Licht: 0","31183","3","3","5","03","15","4","","0","1","1","0","0"
"POINT (8.522471448000033 52.045861863000027)","Unfall 31184 (2024) Kat:3, Licht: 0","31184","3","3","3","03","16","4","","0","1","1","0","0"
"POINT (8.636225663000062 51.987469754000074)","Unfall 31295 (2024) Kat:3, Licht: 1","31295","3","1","9","03","06","3","","1","0","1","0","0"
"POINT (8.637785668000049 52.053321022000034)","Unfall 31412 (2024) Kat:3, Licht: 0","31412","3","7","8","03","08","2","","0","0","0","0","0"
"POINT (8.553037041000039 52.022532053000077)","Unfall 31476 (2024) Kat:3, Licht: 2","31476","3","1","0","03","05","1","","2","0","0","0","0"
"POINT (8.509401297000068 51.981884048000040)","Unfall 31579 (2024) Kat:3, Licht: 0","31579","3","2","4","04","17","4","","0","0","1","0","1"
"POINT (8.541377890000035 51.975591254000051)","Unfall 31580 (2024) Kat:3, Licht: 0","31580","3","6","3","04","13","4","","0","0","1","0","1"
