WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.759664886000053 52.335137022000026)",Unfall 12260 (2017) Kat:2, Licht: 0,12260,2,3,5,03,11,2,0,0,0,1,0,0
"POINT (9.806706908000024 52.336458918000062)",Unfall 12261 (2017) Kat:3, Licht: 1,12261,3,6,2,03,07,2,1,1,0,1,0,0
"POINT (9.771411144000069 52.334977861000027)",Unfall 12298 (2017) Kat:3, Licht: 2,12298,3,2,5,03,19,3,0,2,1,1,0,0
"POINT (9.702542156000050 52.430441662000078)",Unfall 12309 (2017) Kat:3, Licht: 0,12309,3,7,8,03,16,3,0,0,0,0,0,0
"POINT (9.743289999000069 52.368193609000059)",Unfall 12322 (2017) Kat:3, Licht: 0,12322,3,2,5,03,17,1,0,0,0,1,0,0
"POINT (9.787011459000041 52.372163662000048)",Unfall 12328 (2017) Kat:3, Licht: 0,12328,3,2,3,03,16,3,0,0,1,1,0,0
"POINT (9.719195455000033 52.348166290000052)",Unfall 12339 (2017) Kat:3, Licht: 0,12339,3,6,2,03,16,3,0,0,0,1,0,0
"POINT (9.730984807000027 52.382498864000070)",Unfall 12361 (2017) Kat:3, Licht: 0,12361,3,6,2,04,08,2,0,0,0,1,0,0
"POINT (9.693097028000068 52.381754182000066)",Unfall 12430 (2017) Kat:3, Licht: 0,12430,3,6,2,03,09,2,0,0,0,1,0,0
"POINT (9.684291154000050 52.347503331000041)",Unfall 12432 (2017) Kat:3, Licht: 0,12432,3,6,2,03,07,2,0,0,0,1,0,0
"POINT (9.811866952000059 52.409468948000040)",Unfall 12433 (2017) Kat:3, Licht: 0,12433,3,2,5,03,17,2,0,0,1,1,0,0
"POINT (9.891597353000066 52.364768531000038)",Unfall 12440 (2017) Kat:3, Licht: 2,12440,3,1,3,04,04,1,1,2,0,1,0,0
"POINT (9.808404930000052 52.408785863000048)",Unfall 12452 (2017) Kat:2, Licht: 0,12452,2,4,6,03,16,2,0,0,0,0,1,0
"POINT (9.698842720000073 52.347750226000073)",Unfall 12509 (2017) Kat:3, Licht: 1,12509,3,2,5,04,20,7,1,1,0,1,0,0
