WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.444549688000052 52.381434404000061)",Unfall 20452 (2017) Kat:3,20452,3,1,8,09,13,3,0,,0,0,0,1
"POINT (9.474204387000043 52.389246237000066)",Unfall 20453 (2017) Kat:3,20453,3,6,2,09,07,3,0,,0,1,0,0
"POINT (9.739269494000041 52.302826287000073)",Unfall 20454 (2017) Kat:3,20454,3,6,2,09,08,3,0,,0,1,0,0
"POINT (9.669013705000054 52.345741949000058)",Unfall 20455 (2017) Kat:3,20455,3,3,5,09,07,3,0,,1,1,0,0
"POINT (9.978041555000061 52.316524245000039)",Unfall 20456 (2017) Kat:3,20456,3,3,5,09,09,3,0,,1,1,0,0
"POINT (9.717098014000044 52.346364730000062)",Unfall 20457 (2017) Kat:3,20457,3,2,5,09,15,3,0,,1,1,0,0
"POINT (9.740242814000055 52.301937457000065)",Unfall 20458 (2017) Kat:2,20458,2,2,5,09,09,3,0,,1,1,0,0
"POINT (9.628577729000028 52.422149309000076)",Unfall 20459 (2017) Kat:3,20459,3,6,2,09,09,3,0,,0,1,0,0
"POINT (9.940137973000049 52.392591893000031)",Unfall 20460 (2017) Kat:3,20460,3,7,2,09,02,3,0,,0,1,0,0
"POINT (9.711395641000024 52.405524137000043)",Unfall 20515 (2017) Kat:3,20515,3,6,2,09,17,2,0,,0,1,0,0
"POINT (9.732951780000064 52.420990102000076)",Unfall 20516 (2017) Kat:3,20516,3,6,2,09,12,2,0,,0,1,0,0
"POINT (9.652334283000073 52.390556994000065)",Unfall 20517 (2017) Kat:3,20517,3,6,3,09,22,2,0,,1,0,0,0
"POINT (9.503165995000074 52.572518162000051)",Unfall 20518 (2017) Kat:2,20518,2,1,9,09,10,2,0,,0,1,0,0
"POINT (9.581093835000047 52.388509124000052)",Unfall 20519 (2017) Kat:3,20519,3,7,9,09,19,2,0,,0,1,0,0
"POINT (9.790804304000062 52.280371389000038)",Unfall 20520 (2017) Kat:2,20520,2,6,4,09,16,2,0,,0,1,0,1
"POINT (9.968513514000051 52.367525333000060)",Unfall 20521 (2017) Kat:3,20521,3,3,5,09,15,2,0,,0,1,0,1
"POINT (9.777303577000055 52.371193040000037)",Unfall 20560 (2017) Kat:3,20560,3,6,2,09,14,1,0,,0,1,0,0
"POINT (9.762901311000064 52.344677660000059)",Unfall 20561 (2017) Kat:3,20561,3,3,5,09,18,1,0,,1,1,0,0
"POINT (9.650386313000070 52.205496587000027)",Unfall 20562 (2017) Kat:3,20562,3,2,0,09,14,1,0,,0,0,0,1
"POINT (9.480361453000057 52.553842408000037)",Unfall 20563 (2017) Kat:3,20563,3,1,8,09,19,1,0,,0,1,0,0
"POINT (9.738200282000037 52.580925332000049)",Unfall 20564 (2017) Kat:3,20564,3,5,1,09,12,1,0,,1,1,0,0
"POINT (9.944538865000027 52.333808389000069)",Unfall 20565 (2017) Kat:3,20565,3,3,5,09,14,1,0,,1,1,0,0
"POINT (9.755393414000025 52.590980340000044)",Unfall 20566 (2017) Kat:3,20566,3,6,2,09,12,1,0,,0,1,0,0
"POINT (9.654766509000069 52.407665239000039)",Unfall 20599 (2017) Kat:3,20599,3,6,2,09,20,7,1,,0,1,0,0
"POINT (9.691550895000034 52.332506872000067)",Unfall 20600 (2017) Kat:3,20600,3,6,2,09,15,7,1,,0,1,0,0
"POINT (9.570794420000027 52.446560677000036)",Unfall 20601 (2017) Kat:3,20601,3,2,5,09,12,7,0,,1,1,0,0
"POINT (9.744650681000053 52.454523514000073)",Unfall 20602 (2017) Kat:3,20602,3,5,1,09,10,7,0,,0,1,0,0
"POINT (9.744627222000077 52.454618491000076)",Unfall 20603 (2017) Kat:3,20603,3,6,8,09,11,7,0,,1,1,0,0
"POINT (9.646411064000063 52.401048275000051)",Unfall 20604 (2017) Kat:3,20604,3,1,0,09,18,7,1,,0,0,0,1
"POINT (9.737605295000037 52.368250439000064)",Unfall 20605 (2017) Kat:2,20605,2,4,6,09,15,7,0,,1,0,1,0
"POINT (9.749366373000044 52.596928714000057)",Unfall 20606 (2017) Kat:3,20606,3,6,2,09,12,7,0,,0,1,0,0
"POINT (9.700077745000044 52.416193067000052)",Unfall 20658 (2017) Kat:3,20658,3,6,2,09,15,6,0,,0,1,0,0
"POINT (9.750440273000038 52.221405140000059)",Unfall 20659 (2017) Kat:3,20659,3,6,4,09,08,6,0,,0,1,0,0
"POINT (9.514295162000053 52.396694486000058)",Unfall 20689 (2017) Kat:3,20689,3,1,8,09,17,5,1,,0,0,0,1
"POINT (9.924521434000042 52.366157678000036)",Unfall 20690 (2017) Kat:3,20690,3,3,5,09,06,5,1,,0,1,0,0
"POINT (9.710270376000040 52.431630559000041)",Unfall 20691 (2017) Kat:3,20691,3,6,2,09,14,5,1,,0,1,0,0
"POINT (9.833303574000070 52.338248151000073)",Unfall 20692 (2017) Kat:2,20692,2,4,6,09,15,5,1,,0,1,1,0
"POINT (9.800132450000035 52.343250779000073)",Unfall 20693 (2017) Kat:3,20693,3,6,2,09,13,5,1,,0,1,0,0
"POINT (9.643442002000029 52.334970336000026)",Unfall 20696 (2017) Kat:2,20696,2,3,5,09,14,5,1,,0,1,0,0
"POINT (9.698783543000047 52.347377046000076)",Unfall 20753 (2017) Kat:3,20753,3,2,5,08,12,5,0,,0,1,0,1
"POINT (9.720336075000034 52.391552622000063)",Unfall 20755 (2017) Kat:3,20755,3,1,0,08,17,5,0,,1,0,0,0
"POINT (9.722048239000060 52.326935581000043)",Unfall 20758 (2017) Kat:3,20758,3,2,2,08,09,5,1,,0,1,0,0
"POINT (9.778969157000063 52.573161392000031)",Unfall 20790 (2017) Kat:3,20790,3,6,2,09,10,4,1,,0,1,0,0
"POINT (9.789527756000041 52.316946386000041)",Unfall 20795 (2017) Kat:3,20795,3,6,2,09,15,4,0,,0,1,0,0
"POINT (9.827319978000048 52.358011852000061)",Unfall 20796 (2017) Kat:3,20796,3,3,5,09,12,4,1,,1,1,0,0
