WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.638563242000032 52.396706523000034)",Unfall 91 (2024) Kat:3, Licht: 0,91,3,2,5,05,12,4,,0,1,1,0,0
"POINT (9.651939769000023 52.377107405000061)",Unfall 92 (2024) Kat:3, Licht: 0,92,3,3,5,04,12,3,,0,1,1,0,0
"POINT (9.604700752000042 52.335350360000064)",Unfall 93 (2024) Kat:3, Licht: 0,93,3,3,5,04,16,3,,0,1,0,0,0
"POINT (9.955759061000037 52.319010110000079)",Unfall 94 (2024) Kat:3, Licht: 0,94,3,7,0,04,13,3,,0,1,0,0,0
"POINT (9.973991128000023 52.372588205000056)",Unfall 95 (2024) Kat:3, Licht: 0,95,3,7,1,04,16,3,,0,1,1,0,0
"POINT (9.789518830000077 52.233727396000063)",Unfall 96 (2024) Kat:2, Licht: 0,96,2,5,1,04,10,1,,0,1,0,0,0
"POINT (9.789518830000077 52.233727396000063)",Unfall 97 (2024) Kat:2, Licht: 0,97,2,5,1,04,10,1,,0,1,0,0,0
"POINT (9.732447314000069 52.545540088000052)",Unfall 98 (2024) Kat:3, Licht: 0,98,3,6,0,05,11,6,,0,1,0,1,0
"POINT (9.357234444000028 52.453342359000033)",Unfall 99 (2024) Kat:3, Licht: 0,99,3,2,5,04,11,6,,0,1,1,0,0
"POINT (9.859674281000025 52.489032160000079)",Unfall 100 (2024) Kat:3, Licht: 0,100,3,7,0,04,14,4,,0,1,0,0,0
"POINT (9.778235203000065 52.327875741000071)",Unfall 101 (2024) Kat:3, Licht: 0,101,3,2,3,05,08,3,,0,1,1,0,0
"POINT (9.608467936000068 52.392544818000033)",Unfall 102 (2024) Kat:3, Licht: 0,102,3,1,0,04,14,3,,0,1,0,0,0
"POINT (9.704195083000059 52.417068127000050)",Unfall 103 (2024) Kat:3, Licht: 0,103,3,3,5,04,15,7,,0,1,1,0,0
"POINT (9.730232661000059 52.368965034000041)",Unfall 104 (2024) Kat:3, Licht: 2,104,3,3,0,04,22,5,,2,1,1,0,0
"POINT (10.076318116000039 52.477851524000073)",Unfall 105 (2024) Kat:3, Licht: 0,105,3,6,3,04,08,5,,0,1,1,0,0
