WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (7.078454532000023 50.741395514000033)",Unfall 102264 (2019) Kat:3, Licht: 0,102264,3,2,5,03,11,6,1,0,0,1,0,0
"POINT (7.129164075000062 50.764849880000043)",Unfall 102340 (2019) Kat:3, Licht: 2,102340,3,6,3,03,23,6,1,2,0,1,0,0
"POINT (7.169921280000040 50.676469504000067)",Unfall 102395 (2019) Kat:3, Licht: 2,102395,3,2,6,03,22,4,1,2,0,1,1,0
"POINT (7.124801799000068 50.713278102000061)",Unfall 102396 (2019) Kat:3, Licht: 0,102396,3,6,2,03,17,4,1,0,0,1,0,0
"POINT (7.117918287000066 50.718697798000051)",Unfall 102398 (2019) Kat:3, Licht: 0,102398,3,6,2,03,15,4,0,0,0,1,0,0
"POINT (7.158456445000070 50.753037689000053)",Unfall 102421 (2019) Kat:3, Licht: 2,102421,3,3,5,03,19,1,1,2,0,1,0,1
"POINT (7.125622335000060 50.741912158000048)",Unfall 102424 (2019) Kat:3, Licht: 2,102424,3,7,2,03,18,1,1,2,0,1,0,0
"POINT (7.094645518000050 50.736519026000053)",Unfall 102426 (2019) Kat:3, Licht: 0,102426,3,6,2,03,19,1,1,0,1,1,0,0
"POINT (7.121349972000076 50.763339451000036)",Unfall 102583 (2019) Kat:3, Licht: 0,102583,3,6,2,03,16,5,0,0,0,1,0,0
"POINT (7.149171885000044 50.682470486000057)",Unfall 102633 (2019) Kat:3, Licht: 0,102633,3,4,6,03,08,4,0,0,0,0,1,1
"POINT (7.109113457000035 50.760195265000050)",Unfall 102767 (2019) Kat:3, Licht: 0,102767,3,6,2,03,17,6,0,0,0,1,0,0
"POINT (7.103755650000039 50.737345586000060)",Unfall 102806 (2019) Kat:3, Licht: 0,102806,3,2,5,03,17,3,0,0,1,1,0,0
"POINT (7.107270456000038 50.731825017000062)",Unfall 103051 (2019) Kat:3, Licht: 2,103051,3,2,0,03,21,2,1,2,0,1,1,0
"POINT (7.077908828000034 50.742526042000065)",Unfall 103232 (2019) Kat:3, Licht: 0,103232,3,2,2,03,08,4,0,0,0,1,0,0
"POINT (7.072730439000054 50.753284045000044)",Unfall 103348 (2019) Kat:3, Licht: 0,103348,3,6,1,03,14,7,0,0,0,1,0,1
"POINT (7.094500098000026 50.730393505000052)",Unfall 103421 (2019) Kat:3, Licht: 0,103421,3,2,5,03,09,3,0,0,1,1,0,0
"POINT (7.077144984000029 50.729582240000070)",Unfall 103772 (2019) Kat:3, Licht: 2,103772,3,1,9,03,03,6,0,2,0,1,0,0
